rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7412,0.6324,0.75,1.0,7,6,False,True
2,frame_0129.jpg,51.6,0.7343,0.7415,0.625,0.88,6,5,False,True
3,frame_0074.jpg,29.6,0.6838,0.6676,0.5,1.0,6,4,False,False
4,frame_0079.jpg,31.6,0.6767,0.5834,0.75,0.8,8,6,False,True
5,frame_0031.jpg,12.4,0.6742,0.5733,0.625,1.0,8,5,False,True
6,frame_0075.jpg,30.0,0.6649,0.4958,0.75,0.96,7,6,False,False
7,frame_0001.jpg,0.4,0.654,0.608,0.5,1.0,9,4,False,True
8,frame_0004.jpg,1.6,0.6478,0.6706,0.375,1.0,4,3,False,False
9,frame_0291.jpg,116.4,0.6461,0.5812,0.625,0.84,6,5,False,True
10,frame_0070.jpg,28.0,0.6436,0.6621,0.375,1.0,5,3,False,False
11,frame_0367.jpg,146.8,0.6433,0.6547,1.0,0.08,8,8,False,True
12,frame_0067.jpg,26.8,0.6409,0.5067,0.625,1.0,7,5,False,True
13,frame_0126.jpg,50.4,0.6224,0.6408,0.5,0.76,6,4,False,False
14,frame_0002.jpg,0.8,0.6212,0.5424,0.5,1.0,8,4,False,False
15,frame_0169.jpg,67.6,0.6189,0.6547,0.625,0.52,6,5,False,True
16,frame_0003.jpg,1.2,0.6187,0.5374,0.5,1.0,6,4,False,False
17,frame_0071.jpg,28.4,0.6175,0.535,0.5,1.0,6,4,False,False
18,frame_0069.jpg,27.6,0.6135,0.602,0.375,1.0,5,3,False,False
19,frame_0231.jpg,92.4,0.6122,0.6354,0.875,0.16,8,7,False,True
20,frame_0286.jpg,114.4,0.6011,0.6462,0.5,0.64,6,4,False,True
21,frame_0328.jpg,131.2,0.5928,0.7036,0.75,0.08,11,6,False,True
22,frame_0376.jpg,150.4,0.5856,0.7321,0.625,0.16,8,5,False,False
23,frame_0377.jpg,150.8,0.5847,0.5214,1.0,0.12,10,8,False,False
24,frame_0387.jpg,154.8,0.5847,0.7144,0.625,0.2,10,5,False,False
25,frame_0375.jpg,150.0,0.5807,0.7063,0.625,0.2,8,5,False,False
26,frame_0378.jpg,151.2,0.5751,0.5181,1.0,0.08,9,8,False,False
27,frame_0000.jpg,0.0,0.5719,0.5938,0.25,1.0,7,2,False,False
28,frame_0030.jpg,12.0,0.5707,0.4414,0.5,1.0,7,4,False,False
29,frame_0294.jpg,117.6,0.5702,0.5523,0.5,0.72,5,4,False,False
30,frame_0274.jpg,109.6,0.568,0.772,0.5,0.16,6,4,False,False
31,frame_0287.jpg,114.8,0.5655,0.6339,0.375,0.68,7,3,False,False
32,frame_0302.jpg,120.8,0.5652,0.5204,0.75,0.4,6,6,False,False
33,frame_0072.jpg,28.8,0.5632,0.5763,0.25,1.0,7,2,False,False
34,frame_0127.jpg,50.8,0.5631,0.5812,0.375,0.8,8,3,False,False
35,frame_0276.jpg,110.4,0.5602,0.6493,0.625,0.24,9,5,False,False
36,frame_0316.jpg,126.4,0.5591,0.6791,0.625,0.16,8,5,False,False
37,frame_0077.jpg,30.8,0.5568,0.5366,0.375,0.88,8,3,False,False
38,frame_0298.jpg,119.2,0.5562,0.5883,0.5,0.56,5,4,False,False
39,frame_0283.jpg,113.2,0.5525,0.597,0.5,0.52,5,4,False,False
40,frame_0292.jpg,116.8,0.5524,0.4847,0.5,0.8,7,4,False,False
41,frame_0114.jpg,45.6,0.5508,0.6145,0.625,0.28,5,5,False,False
42,frame_0122.jpg,48.8,0.5508,0.6366,0.375,0.6,4,3,False,False
43,frame_0013.jpg,5.2,0.5488,0.4726,0.375,1.0,4,3,False,False
44,frame_0318.jpg,127.2,0.5427,0.6144,0.625,0.24,8,5,False,False
45,frame_0317.jpg,126.8,0.5405,0.701,0.5,0.2,9,4,False,False
46,frame_0306.jpg,122.4,0.5403,0.6096,0.625,0.24,6,5,False,False
47,frame_0029.jpg,11.6,0.5382,0.5264,0.25,1.0,5,2,False,False
48,frame_0123.jpg,49.2,0.5382,0.5204,0.5,0.64,6,4,False,False
49,frame_0185.jpg,74.0,0.5363,0.5906,0.75,0.08,8,6,False,False
50,frame_0293.jpg,117.2,0.5362,0.4683,0.5,0.76,5,4,False,False
51,frame_0068.jpg,27.2,0.5358,0.3716,0.5,1.0,6,4,False,False
52,frame_0288.jpg,115.2,0.5327,0.5525,0.375,0.72,7,3,False,False
53,frame_0374.jpg,149.6,0.5323,0.6845,0.5,0.2,8,4,False,False
54,frame_0128.jpg,51.2,0.5292,0.5723,0.25,0.84,7,2,False,False
55,frame_0011.jpg,4.4,0.5289,0.5078,0.25,1.0,3,2,False,False
56,frame_0015.jpg,6.0,0.5278,0.4306,0.375,1.0,5,3,False,False
57,frame_0005.jpg,2.0,0.5261,0.3521,0.5,1.0,5,4,False,False
58,frame_0330.jpg,132.0,0.5241,0.6571,0.625,0.04,9,5,False,False
59,frame_0033.jpg,13.2,0.5221,0.4941,0.25,1.0,7,2,False,False
60,frame_0130.jpg,52.0,0.5212,0.4494,0.375,0.92,4,3,False,False
61,frame_0379.jpg,151.6,0.5212,0.5763,0.75,0.04,8,6,False,False
62,frame_0271.jpg,108.4,0.5198,0.8736,0.25,0.04,2,2,False,False
63,frame_0278.jpg,111.2,0.5196,0.5362,0.625,0.32,8,5,False,False
64,frame_0095.jpg,38.0,0.5181,0.5972,0.625,0.16,6,5,False,False
65,frame_0023.jpg,9.2,0.5161,0.4823,0.25,1.0,3,2,False,False
66,frame_0017.jpg,6.8,0.5135,0.477,0.25,1.0,4,2,False,False
67,frame_0089.jpg,35.6,0.5124,0.5647,0.5,0.4,6,4,False,False
68,frame_0007.jpg,2.8,0.5105,0.4709,0.25,1.0,5,2,False,False
69,frame_0305.jpg,122.0,0.5093,0.6066,0.5,0.28,5,4,False,False
70,frame_0397.jpg,158.8,0.5093,0.5636,0.625,0.2,7,5,False,False
71,frame_0295.jpg,118.0,0.5082,0.5944,0.25,0.68,4,2,False,False
72,frame_0329.jpg,131.6,0.5063,0.5306,0.75,0.08,9,6,False,False
73,frame_0131.jpg,52.4,0.5055,0.4021,0.375,0.96,4,3,False,False
74,frame_0168.jpg,67.2,0.5041,0.5593,0.375,0.56,6,3,False,False
75,frame_0368.jpg,147.2,0.5017,0.5374,0.75,0.04,8,6,False,False
76,frame_0006.jpg,2.4,0.5005,0.3759,0.375,1.0,5,3,False,False
77,frame_0027.jpg,10.8,0.4987,0.5974,0.0,1.0,2,0,False,False
78,frame_0277.jpg,110.8,0.4982,0.5094,0.625,0.28,7,5,False,False
79,frame_0386.jpg,154.4,0.4972,0.4484,0.75,0.24,8,6,False,False
80,frame_0327.jpg,130.8,0.492,0.7431,0.375,0.04,10,3,False,False
81,frame_0275.jpg,110.0,0.491,0.527,0.625,0.2,7,5,False,False
82,frame_0133.jpg,53.2,0.4895,0.429,0.25,1.0,6,2,False,False
83,frame_0016.jpg,6.4,0.4891,0.3532,0.375,1.0,5,3,False,False
84,frame_0105.jpg,42.0,0.4891,0.5712,0.625,0.08,7,5,False,False
85,frame_0315.jpg,126.0,0.4868,0.6256,0.5,0.12,7,4,False,False
86,frame_0026.jpg,10.4,0.4839,0.4928,0.125,1.0,4,1,False,False
87,frame_0395.jpg,158.0,0.4835,0.544,0.625,0.12,6,5,False,False
88,frame_0285.jpg,114.0,0.4832,0.5763,0.25,0.6,6,2,False,False
89,frame_0076.jpg,30.4,0.4818,0.3706,0.375,0.92,6,3,False,False
90,frame_0322.jpg,128.8,0.4814,0.5988,0.5,0.16,4,4,False,False
91,frame_0018.jpg,7.2,0.481,0.412,0.25,1.0,4,2,False,False
92,frame_0303.jpg,121.2,0.481,0.5179,0.5,0.36,5,4,False,False
93,frame_0388.jpg,155.2,0.4806,0.5972,0.5,0.16,8,4,False,False
94,frame_0184.jpg,73.6,0.4785,0.55,0.625,0.08,5,5,False,False
95,frame_0177.jpg,70.8,0.4758,0.5717,0.5,0.2,7,4,False,False
